<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.20	00:00:00	46111.00	46238.50	46076.10	46169.50	11629	0	500
2026.03.20	04:00:00	46171.00	46192.00	46080.50	46119.50	8206	0	500
2026.03.20	08:00:00	46118.50	46173.50	45828.50	45865.00	20965	0	500
2026.03.20	12:00:00	45864.50	46060.75	45706.50	45868.75	37271	0	500
2026.03.20	16:00:00	45867.25	45930.52	45676.75	45779.47	54948	0	550
2026.03.20	20:00:00	45780.46	45843.25	45365.58	45806.75	29412	0	550
2026.03.23	00:00:00	45298.85	45665.25	45224.50	45612.25	28076	0	550
2026.03.23	04:00:00	45612.75	45650.25	45382.75	45444.75	21542	0	550
2026.03.23	08:00:00	45443.75	45449.75	45156.75	45266.25	38069	0	550
2026.03.23	12:00:00	45266.75	46910.85	45176.75	46519.75	52643	0	550
2026.03.23	16:00:00	46521.25	46730.75	46100.73	46414.52	61774	0	550
2026.03.23	20:00:00	46415.01	46513.93	46124.96	46200.42	25255	0	550
2026.03.24	00:00:00	46202.50	46330.25	45919.35	45967.75	23692	0	550
2026.03.24	04:00:00	45966.75	46058.35	45870.25	45973.75	21517	0	550
2026.03.24	08:00:00	45975.25	46344.75	45963.35	46175.25	30834	0	550
2026.03.24	12:00:00	46175.75	46200.25	45745.25	45899.75	37936	0	550
2026.03.24	16:00:00	45899.25	46403.12	45874.25	46228.86	56054	0	550
2026.03.24	20:00:00	46229.85	46609.62	46101.54	46399.87	30963	0	550
2026.03.25	00:00:00	46405.15	46598.55	46377.65	46487.55	19061	0	550
2026.03.25	04:00:00	46488.05	46534.55	46379.55	46463.05	15935	0	550
2026.03.25	08:00:00	46462.55	46674.55	46402.55	46498.55	25327	0	550
2026.03.25	12:00:00	46497.65	46744.05	46372.55	46384.55	34506	0	550
2026.03.25	16:00:00	46385.55	46581.53	46190.25	46469.59	52310	0	550
2026.03.25	20:00:00	46472.07	46537.97	46358.20	46412.71	22918	0	550
2026.03.26	00:00:00	46418.50	46455.75	46299.75	46376.25	13420	0	550
2026.03.26	04:00:00	46374.25	46435.75	46228.75	46231.25	15791	0	550
2026.03.26	08:00:00	46231.75	46314.25	46046.85	46104.25	24056	0	550
2026.03.26	12:00:00	46103.75	46515.75	45982.25	46510.25	30047	0	550
2026.03.26	16:00:00	46509.75	46555.05	45947.73	45960.25	50481	0	550
2026.03.26	20:00:00	45959.75	46475.48	45899.35	46034.91	27756	0	550
2026.03.27	00:00:00	46058.90	46221.65	46041.25	46137.65	17117	0	550
2026.03.27	04:00:00	46141.65	46241.65	46067.65	46195.15	12545	0	550
2026.03.27	08:00:00	46194.65	46235.15	45844.65	45875.15	22768	0	550
2026.03.27	12:00:00	45874.65	45935.65	45427.65	45478.25	32588	0	550
2026.03.27	16:00:00	45477.25	45729.39	45282.24	45288.13	52386	0	550
2026.03.27	20:00:00	45286.64	45311.59	45021.52	45059.94	26600	0	550
2026.03.30	00:00:00	44980.35	45033.35	44805.35	44875.85	19397	0	550
2026.03.30	04:00:00	44876.85	45175.25	44856.75	45123.25	20458	0	550
2026.03.30	08:00:00	45123.75	45398.25	45122.75	45388.25	21661	0	550
2026.03.30	12:00:00	45388.75	45664.35	45291.75	45527.25	23133	0	550
2026.03.30	16:00:00	45527.75	45623.71	45279.75	45404.55	51797	0	550
2026.03.30	20:00:00	45405.05	45444.49	45056.79	45199.03	35470	0	550
2026.03.31	00:00:00	45195.50	45527.35	45043.75	45440.25	16367	0	550
2026.03.31	04:00:00	45442.75	45730.75	45348.35	45585.75	29545	0	550
2026.03.31	08:00:00	45583.75	45727.75	45500.75	45597.25	28845	0	550
2026.03.31	12:00:00	45597.85	45816.75	45476.75	45684.25	30955	0	550
2026.03.31	16:00:00	45683.75	46319.69	45478.81	46073.43	57891	0	550
2026.03.31	20:00:00	46073.93	46392.73	46049.36	46312.22	46986	0	550
2026.04.01	00:00:00	46245.90	46439.65	46245.90	46438.15	11048	0	550
2026.04.01	04:00:00	46438.65	46448.15	46341.15	46393.65	13299	0	550
2026.04.01	08:00:00	46394.65	46673.15	46389.65	46564.75	22297	0	550
2026.04.01	12:00:00	46564.25	46788.25	46458.15	46514.65	24135	0	550
2026.04.01	16:00:00	46513.75	46803.62	46465.65	46751.97	48339	0	550
2026.04.01	20:00:00	46752.96	46800.98	46517.51	46581.30	34149	0	550
2026.04.02	00:00:00	46583.87	46690.62	46522.12	46683.62	11177	0	550
2026.04.02	04:00:00	46682.12	46689.72	46054.62	46065.62	28470	0	550
2026.04.02	08:00:00	46067.12	46179.12	45969.12	46133.62	20813	0	550
2026.04.02	12:00:00	46135.12	46163.62	45844.12	45919.22	21607	0	550
2026.04.02	16:00:00	45919.12	46752.35	45880.62	46365.25	55756	0	550
2026.04.02	20:00:00	46363.25	46540.75	46309.25	46515.25	33462	0	550
2026.04.03	00:00:00	46498.00	46549.75	46471.85	46503.25	4792	0	550
2026.04.03	04:00:00	46504.25	46507.25	46419.25	46434.75	4930	0	550
2026.04.03	08:00:00	46435.75	46469.75	46354.25	46396.75	4426	0	550
2026.04.03	12:00:00	46396.25	46600.00	46354.35	46377.75	6828	0	550
2026.04.03	16:00:00	46378.25	46412.85	46362.25	46389.85	364	0	550
2026.04.06	00:00:00	46318.85	46349.25	46125.85	46341.75	12530	0	550
2026.04.06	04:00:00	46341.25	46515.25	46256.85	46402.25	15063	0	550
2026.04.06	08:00:00	46401.75	46580.75	46355.75	46559.25	14067	0	550
2026.04.06	12:00:00	46560.25	46595.25	46391.25	46477.25	14250	0	550
2026.04.06	16:00:00	46476.75	46693.44	46333.25	46615.20	45850	0	550
2026.04.06	20:00:00	46615.70	46816.13	46452.23	46774.76	26415	0	550
2026.04.07	00:00:00	46773.75	46803.85	46682.25	46693.75	9252	0	550
2026.04.07	04:00:00	46693.25	46716.25	46472.25	46570.75	17623	0	550
2026.04.07	08:00:00	46571.75	46774.75	46513.75	46742.25	22381	0	550
2026.04.07	12:00:00	46741.75	46811.25	46368.85	46530.75	28703	0	550
2026.04.07	16:00:00	46531.25	46603.25	46207.40	46445.69	54141	0	550
2026.04.07	20:00:00	46444.70	46704.16	46250.82	46647.26	43863	0	550
2026.04.08	00:00:00	46788.35	47597.75	46612.35	47510.25	20461	0	550
